,character,line
458,RHODEY,  It's Thanos.
459,BRUCE BANNER," ...And secondly, time doesn't work that way. Changing the past doesn't change the future."
460,SCOTT LANG," Look, we go back, we get the stones before Thanos gets them... Thanos doesn't have the stones. Problem solved."
461,CLINT BARTON, Bingo.
462,NEBULA, That's not how it works.
463,CLINT BARTON," Well, that's what I heard."
464,BRUCE BANNER, What? By who? Who told you that?
465,RHODEY,"  Star Trek, Terminator, TimeCop, Time After Time -"
466,SCOTT LANG, Quantum Leap -
467,RHODEY," A Wrinkle in Time, Somewhere in Time -"
468,SCOTT LANG, Hot Tub Time Machine -
469,RHODEY," Hot Tub Time Machine. Bill and Ted's Excellent Adventure. Basically, any movie that deals with time travel."
470,SCOTT LANG," Die Hard? No, it's not one..."
471,RHODEY, This is known.
472,BRUCE BANNER," If you travel to the past, that past becomes your future. And your former present becomes the past. Which can't now be changed by your new future..."
473,NEBULA, Exactly.
474,SCOTT LANG, So... Back To The Future's a bunch of bullshit?
475,BRUCE BANNER,"  Alright, Clint. We're going in 3... 2... 1!"
476,LILA BARTON,  Cooper? Where are my headphones?
477,CLINT BARTON, 
478,LILA BARTON," Yeah, Dad?  Dad?"
479,NATASHA ROMANOFF," Hey, hey. Look at me. You okay?"
480,CLINT BARTON,"  Yeah, it worked. It worked."
481,STEVE ROGERS," Okay, so the ""how"" works. Now we gotta figure out the when and the where. Almost all of us has had an encounter with at least one of the six Infinity Stones."
482,TONY STARK, Well I'd substitute the word encounter for damn well near been killed by one of the six Infinity Stones.
483,SCOTT LANG," I haven't, I don't even know what the hell you're all talking about"
484,BRUCE BANNER," Regardless, we only have enough Pym Particles for one round trip each, and these stones have been in a lot of different places throughout history."
485,TONY STARK," Our history. So, not a lot of convenient spots to just drop in."
486,CLINT BARTON, Which means we have to pick our targets.
487,TONY STARK, Correct.
488,STEVE ROGERS," Let's start with the Aether. Thor, what do you know?"
489,NATASHA ROMANOFF, Is he asleep?
490,RHODEY," No, I'm pretty sure he's dead."
491,THOR," Where to start? Umm... The Aether, first, is not a stone, someone called it a stone before. It's more of a... an angry sludge thing, so... someones gonna need to amend that. Here's an interesting story though, many years ago... My grandfather had to hide the stones from the Dark Elves...  I'm not done yet, the only thing permanent in life is impermanence."
492,TONY STARK, Awesome. Eggs? Breakfast?
493,THOR," I'd like a Bloody Mary, thank you."
494,ROCKET, Quill said he stole the Power Stone from Morag.
495,SCOTT LANG, Is that a person?
496,ROCKET, Morag's a planet. Quill was a person.
497,SCOTT LANG, A planet? Like in outer space?
498,ROCKET," Oh, look. It's like a little puppy, all happy and everything.  Do you wanna go to space? You wanna go to space, puppy? I'll get you to space."
499,NEBULA, Thanos found the Soul Stone on Vormir.
500,NATASHA ROMANOFF,  What is Vormir?
501,NEBULA," A dominion of death, at the very center of Celestial existence. It's where... Thanos murdered my sister."
502,SCOTT LANG, Not it.
503,NATASHA ROMANOFF, That Time Stone guy...
504,BRUCE BANNER, Doctor Strange.
505,NATASHA ROMANOFF," Yeah, what kind of doctor was he?"
506,TONY STARK, Ear-nose-throat meets rabbit from a hat.
507,BRUCE BANNER," Nice place in the village, though."
508,TONY STARK, Yeah. Sullivan Street.
509,BRUCE BANNER, Hmm... Bleecker.
510,NATASHA ROMANOFF," Wait, he lived in New York?"
511,TONY STARK, No. He lived in Toronto.
512,NATASHA ROMANOFF," Guys, if you pick the right year, there are three stones in New York."
513,BRUCE BANNER,  Shut the front door.
514,STEVE ROGERS," All right. We have a plan. Six Stones, three teams. One shot."
515,STEVE ROGERS," Five years ago, we lost. All of us. We lost friends... We lost family... We lost a part of ourselves. Today, we have a chance to take it all back. You know your teams, you know your missions. Get the stones, get them back. One round trip each. No mistakes. No do-overs. Most of us are going somewhere we know. But it doesn't mean we should know what to expect. Be careful. Look out for each other. This is the fight of our lives. And we're gonna win.  Whatever it takes. Good luck."
516,ROCKET, He's pretty good at that.
517,SCOTT LANG, Right? 
518,TONY STARK," All right. You heard the man. Stroke those keys, jolly green."
519,BRUCE BANNER, Tractors engaged.
520,ROCKET,"  You promise to bring that back in one piece, right?"
521,CLINT BARTON," Yeah, yeah, yeah, yeah. Okay. I'll do my best."
522,ROCKET," As promises go, that was pretty lame."
523,NATASHA ROMANOFF,  See you in a minute.
524,STEVE ROGERS," All right, we all have our assignments. Two Stones uptown, one Stone, down. Stay low. Keep an eye on the clock."
525,STEVE ROGERS, Feel free to smash a few things along the way.
526,BRUCE BANNER," I think it's gratuitous, but whatever."
527,THE ANCIENT ONE , I'd be careful going that way. We just had the floors waxed.
528,BRUCE BANNER," Ma'am, I'm looking for Doctor Strange."
529,THE ANCIENT ONE , You're about... five years too early. Stephen Strange is currently performing surgery about twenty blocks that way. What do you want from him?
530,BRUCE BANNER," That, actually."
531,THE ANCIENT ONE , Ah! I'm afraid not.
532,BRUCE BANNER," Sorry, but I wasn't asking."
533,THE ANCIENT ONE , You don't wanna do this.
534,BRUCE BANNER," Ah, you're right, I don't.  But I need that stone, and I don't have time to beat it-"
535,THE ANCIENT ONE ," Let's start over, shall we?"
536,THOR, That's Jane.
537,ROCKET," You're gonna charm her and I'm gonna poke her with this thing,  and extract the Reality Stone and get gone, lickety-split."
538,THOR," I'll be right back, okay? There's a wine cellar, that's just down there. My father used to fish huge barrel of ale. I'll see if the cellar has a couple of..."
539,ROCKET, Hey! Hey! Aren't you drunk enough already?
540,ROCKET, Who's the fancy broad?
541,THOR, It's my Mother. She dies today.
542,ROCKET, Oh. That's today?
543,THOR, I can't do this. I can't do this. I shouldn't be here. I shouldn't have come.This was a bad idea.
544,ROCKET, Come here. 
545,THOR," No, no, no. I think I'm having...I'm having a panic attack. I shouldn't be here...this is...this is a bad-"
546,ROCKET, Come here. Right here.
547,ROCKET," You think you're the only one who lost people? What do you think we're doing here? I lost the only family I ever had. Quill, Groot, Drax, the chick with the antenna, all gone. Now, I get you miss your Mom. But she's gone. Really gone. And there are plenty of people who are only kinda gone. But you can help them. So is it too much to ask that you brush the crumbs outta your beard, make schmoopy talk to Pretty Pants, and when she's not looking, suck out the Infinity Stone and help me get my family back?"
548,THOR, Okay.
549,ROCKET, Are you crying?
550,THOR, No...Yes!
551,ROCKET, Get it together! You can do this. You can do this. All right?
552,THOR," Yes, I can."
553,ROCKET, Good.
554,THOR," I can do this. I can do it, I can't do this."
555,ROCKET," Alright, Heartbreaker. She's alone. This is our shot.  Thor? Thor! Aaagh!!!"
556,RHODEY," Alright. Bring it down low. Right on that line. That's it. Down, down."
557,CLINT BARTON," Hey, can we hurry it up?"
558,NATASHA ROMANOFF," Guys, chop-chop. Come on. We're on a clock."
559,RHODEY," All that, is really helpful.  Take care, okay?"
560,NATASHA ROMANOFF, Yeah.
561,RHODEY, Take that stone and come back. No messing around.
562,CLINT BARTON,  Hey. You got this.
563,RHODEY," Let's get it done. Yes, sir."
564,NATASHA ROMANOFF,  See you back.
565,RHODEY, You guys watch each other's six.
566,CLINT BARTON, Yeah.
567,NEBULA, The coordinates for Vormir are laid in. All they have to do is not fall out.
568,CLINT BARTON, It's a long way from Budapest.
569,RHODEY," Okay, so, uhh... We just wait around for this Quill guy to show up and then he leads us to the Power Stone, is that it?"
570,NEBULA,  Let's take cover. We're not the only ones in 2014 looking for the stones.
571,RHODEY," Wait a minute, what are you talking about right now? Who else is looking for these stones?"
572,NEBULA," My father, my sister... and me."
573,RHODEY, And you? Where are you right now?
574,GAMORA,  You're welcome.
575,NEBULA, I didn't ask for your help.
576,GAMORA," And yet, you always need it.  Get up. Father wants us back on the ship."
577,NEBULA, Why?
578,GAMORA, He's found an Infinity Stone.
579,NEBULA, Where?
580,GAMORA, On a planet called Morag.
581,NEBULA, Father's plan is finally in motion.
582,GAMORA," One stone isn't six, Nebula."
583,NEBULA, It’s a start.
584,GAMORA, If he gets all of them...
585,THANOS, Ronan's located the Power Stone. I'm dispatching you to his ship.
586,GAMORA, He won't like that.
587,THANOS," His alternative is death, then.  Ronan's obsession clouds his judgement."
588,NEBULA," We will not fail you, Father."
589,THANOS," No, you won't."
590,NEBULA, I swear...I will make you proud.
591,RHODEY," We just, wait around for this Quill guy to show up, and then he leads us to the Power Stone, is that it?"
592,NEBULA, Let's take cover. We're not the only ones in 2014 looking for the stones.
593,GAMORA, Who was that?
594,NEBULA, I don't know...My head is splitting...I don't know...
595,GAMORA, Her synaptic drive was probably damaged in battle.
596,THANOS, Shhh... (pointing to Nebula) Bring her to my ship.
597,TONY STARK," Got to hustle, Cap. Things look like they're just about wrapped up here."
598,STEVE ROGERS, Got it. I'm approaching the elevator now.
599,LOKI , If it's all the same to you... I'll have that drink now.
600,TONY STARK," All right, get him on his feet. We can all stand around posing up a storm later. By the way, feel free to clean up."
601,TONY STARK," Uh, Mr. Rogers. I almost forgot that that suit  did nothing for your ass."
602,STEVE ROGERS," No one asked you to look, Tony."
603,TONY STARK,  It's ridiculous
604,SCOTT LANG," I think you look great, Cap. As far as I'm concerned, that's America's ass. "
605,NATASHA ROMANOFF," Uhh, magic wand?"
606,TONY STARK, STRIKE team's coming to secure it.
607,SITWELL , We can take that  off your hands.
608,NATASHA ROMANOFF, By all means. Careful with that thing.
609,CLINT BARTON, Unless you want your mind erased. And not in a fun way.
610,SITWELL , We promise to be careful.
611,SCOTT LANG, Who are these guys?
612,TONY STARK," They are SHIELD...Well, actually Hydra. But, we didn't know that yet."
613,SCOTT LANG," Seriously, you didn't? I mean...they look like bad guys."
614,TONY STARK," You're small, but you're talking loud."
615,STEVE ROGERS, On my way down to coordinate search and rescue.
616,LOKI ,"  I mean, honestly! How do you think you'll be..."
617,THOR,  Shut up.
618,TONY STARK," All right, you're up, little buddy.  There's our stone."
619,SCOTT LANG,  Alright. Flick me.
620,HULK , Move.
621,THOR, Whoa!
622,TONY STARK," Whoa, whoa. Hey! Buddy. What do you think? Maximum occupancy has been reached."
623,THOR, Take the stairs.
624,TONY STARK, Yeah.  Stop. Stop!
625,HULK ,  Take the stairs! Hate the stairs!
626,TONY STARK," All right, Cap. I got our scepter in the elevator just passing the 80th floor."
627,STEVE ROGERS, On it. Head to the lobby.
628,TONY STARK, Alright. I'll see you there.
629,SITWELL ," Evidence secure. We're en route to Dr. List. No. No hitches at all, Mr. Secretary."
630,SITWELL , Captain. I thought you were coordinating search and rescue?
631,STEVE ROGERS, Change of plans.
632,RUMLOW ," Hey, Cap."
633,STEVE ROGERS, Rumlow.  I just got a call from the Secretary. I'm gonna be running point on the scepter.
634,SITWELL , Sir? I don't understand.
635,STEVE ROGERS, We got word there may be an attempt to steal it.
636,RUMLOW ," Sorry, Cap. I can't give you the scepter."
637,SITWELL , I'm gonna have to call the Director.
638,STEVE ROGERS, That's okay. Trust me.  Hail Hydra.
639,HULK ,  So many stairs!
640,TONY STARK," Thumbelina, do you copy? I've got eyes on the prize. It's go-time."
641,SCOTT LANG, Bombs away.  Is... is that Axe body spray?
642,TONY STARK," Yeah, I had a can just for emergencies. Relax. Can we focus, please?"
643,SCOTT LANG, I'm going inside you. Now.
644,ALEXANDER PIERCE , May I ask you where you're going?
645,THOR," To lunch and then Asgard. I'm sorry, you are?"
646,TONY STARK," Alexander Pierce. He's the man, one of the folks behind Nick Fury."
647,ALEXANDER PIERCE , My friends call me Mr. Secretary. I'm gonna have to ask you to turn that prisoner over to me.
648,THOR, Loki will be answering to Odin himself.
649,ALEXANDER PEIRCE," Oh, he's gonna answer to us. Odin can have what's left. And I'm gonna need that case, that's been SHIELD property for over 70 years."
650,HYDRA AGENT," Hand over the case, Stark."
651,TONY STARK,"  All right, move it, Stuart Little. Things are getting dicey up here. Let's go."
652,TONY STARK," I'm not gonna argue who's got the higher authority here, all right?"
653,SCOTT LANG, You promise me you won't die?
654,TONY STARK, You're only giving me a mild cardiac dysrhythmia.
655,SCOTT LANG, That doesn't sound mild.
656,ALEXANDER PIERCE , I need the case.
657,TONY STARK, I know you got a lotta pull. I'm just saying...
658,ALEXANDER PIERCE , Okay. Then give me the case.
659,TONY STARK," Do it, Lang!"
660,TONY STARK, Get your hands off!
661,TONY STARK, Window's closing. Pull my pin!
662,SCOTT LANG, Here goes!
663,ALEXANDER PIERCE , Stark?
664,THOR, Stark!
665,ALEXANDER PIERCE ," Look, he's convulsing. Give him air! Medic!"
666,TONY STARK," MEDIC! You guys, some help!"
667,ALEXANDER PIERCE ," Stark, you--- your chest machine?"
668,TONY STARK, Good job. Meet me in the alley. I'm gonna grab a quick slice.
669,HULK , NO STAIRS!!!!
670,THOR," You'll be fine, Stark. Stay with us! I'll try something, okay? I have no idea if it's gonna work."
671,THOR, YES!
672,TONY STARK, That worked a treat. That was so crazy!
673,THOR, I had no idea if that was gonna work.
674,TONY STARK, The case?
675,THOR," The case. It's, uhh... Where's the case? Where's Loki? Loki!"
676,SCOTT LANG," That wasn't supposed to happen, was it?"
677,TONY STARK," Oh, we blew it."
678,THOR, Loki!?
679,STEVE ROGERS," Tony, what's going on? Tell me you found that cube.  Oh, you gotta be shitting me."
680,STEVE ROGERS, I have eyes on Loki. 14th floor.
681,STEVE ROGERS,  I'm not Loki. And I don't wanna hurt you.
682,STEVE ROGERS, I can do this all day.
683,STEVE ROGERS,"  Yeah, I know. I know."
684,STEVE ROGERS, Where did you get this?
685,STEVE ROGERS, Bucky... is... alive!
686,STEVE ROGERS, What?
687,STEVE ROGERS, That is America's ass.
688,BRUCE BANNER," Please, please!"
689,THE ANCIENT ONE ," I'm sorry, I can't help you, Bruce. If I give up the Time Stone to help your Reality, I'm dooming my own."
690,BRUCE BANNER," With all due respect, I'm not sure the science really supports that."
691,THE ANCIENT ONE ," The Infinity Stones create what you experience as the flow of time. Remove one stone and that flow splits.  Now, this may benefit your reality, but my new one…not so much. In this new branched Reality, without our chief weapon against the forces of darkness, our world will be overrun. Millions will suffer. So, tell me, Doctor, can your science prevent all that?"
692,BRUCE BANNER," No, but we can erase it. Because once we are done with the stones, we can return each one to its own timeline at the moment it was taken. So, chronologically,  it never left."
693,THE ANCIENT ONE ,"  But you are leaving out the most important part. In order to return the stones, you have to survive."
694,BRUCE BANNER, We will. I will. I promise.
695,THE ANCIENT ONE , I can't risk this Reality on a promise. It is the duty of the Sorcerer Supreme to protect the Time Stone.
696,BRUCE BANNER," Then, why the hell did Strange give it away?"
697,THE ANCIENT ONE ,  What did you say?
698,BRUCE BANNER," Strange, he gave it away. He gave it to Thanos."
699,THE ANCIENT ONE , Willingly?
700,BRUCE BANNER, Yes!
701,THE ANCIENT ONE , ...Why?
702,BRUCE BANNER, I have no idea. Maybe he made a mistake.
703,THE ANCIENT ONE , Or I did.  Strange is meant to be the best of us.
704,BRUCE BANNER, So he must have done it for a reason.
705,THE ANCIENT ONE , I fear you might be right. 
706,BRUCE BANNER, Thank you.
707,THE ANCIENT ONE ," I'm counting on you, Bruce. We all are."
708,THANOS,  Run diagnostics. Show me her memory file.
709,EBONY MAW ," Sire, the file appears entangled. It was a memory, but not hers. There's another consciousness sharing her network...another Nebula."
710,THANOS, Impossible.
711,EBONY MAW , This duplicate carries a time stamp... from nine years in the future.
712,THANOS, Where is this other Nebula?
713,EBONY MAW , In our solar system. On Morag.
714,THANOS, Can you access her?
715,EBONY MAW , Yes. The two are linked.
716,THANOS, Search the duplicate's memories for Infinity Stones.
717,BRUCE BANNER, And these stones have been in a lot of different places throughout history.
718,TONY STARK," Our history. So, not a lot of convenient spots to just drop in."
719,CLINT BARTON, Which means we have to pick our targets.
720,TONY STARK, Correct.
721,THANOS,  Freeze image.
722,GAMORA, Terrans.
723,THANOS," Avengers. Unruly wretches. What's that reflection? Amplify this, Maw."
724,GAMORA,  I don't understand. Two Nebulas.
725,THANOS, No. The same Nebula. From two different times. Set course for Morag. Scan the duplicate's memories. I want to see everything.
726,FRIGGA ," My ladies, I'll see you after. Go on."
727,FRIGGA ,  What are you doing?
728,THOR, Aah!!!
729,FRIGGA , Aah!!! 
730,THOR," OH, God!"
731,FRIGGA , You're better off leaving the sneaking to your brother.
732,THOR," Yeah, I was simply just going for a walk, and uh... "
733,FRIGGA , What are you wearing?
734,THOR, I always wear this. This is one of my favorites.
735,FRIGGA , What's wrong with your eye?
736,THOR," Oh, my eye. That's... you remember the Battle of Haroquin? When I got hit in the face with a broadsword?"
737,FRIGGA ," You're not the Thor I know at all, are you?"
738,THOR,"  Yes, I am."
739,FRIGGA ," The future hasn't been kind to you, has it?"
740,THOR, I didn't say I'm from the future.
741,FRIGGA ," I was raised by witches, boy. I see with more than eyes, and you know that."
742,THOR,"  I am totally, totally from the future."
743,FRIGGA ," Yes, you are."
744,THOR, I really need to talk to you.
745,FRIGGA , We can talk.
746,THOR, His head was over there... His body over there... What was the point? I was too late. I was just standing there. Some idiot with an axe.
747,FRIGGA , You're no idiot. You're here aren't you? Seeking counsel from the wisest person in Asgard.
748,THOR," I guess, yeah."
749,FRIGGA , Idiot? No. A failure? Absolutely.
750,THOR, That's a little bit harsh.
751,FRIGGA , You do know what that makes you? Just like everyone else.
752,THOR," I'm not supposed to be like everyone else, am I?"
753,FRIGGA ," Everyone fails at who they are supposed to be, Thor. The measure of a person, of a hero, is how well they succeed at being who they are."
754,THOR," I really missed you, Mum."
755,ROCKET, Thor! I got it!
756,ASGARDIAN SOLDIER , Get that rabbit!
757,THOR," Ma, I have to tell you something."
758,FRIGGA ," No, son. You don't. You're here to repair your future, not mine."
759,THOR, But this is about your future.
760,FRIGGA , It's none of my business. 
761,ROCKET," Hey. You must be Mom. I got the thing. Come on, we got to move."
762,THOR, I wish we had more time.
763,FRIGGA ," No, this was a gift. And you're going to be the man you're meant to be."
764,THOR," I love you, Mom."
765,FRIGGA , I love you. And eat a salad.
766,ROCKET, Come on. We gotta go.
767,FRIGGA ,  Goodbye.
768,ROCKET, Three... two...
769,THOR," No, wait!"
770,ROCKET,  Wh- what am I looking at?
771,FRIGGA ," Oh, sometimes it takes a second."
772,THOR,  I'm still worthy.
773,ROCKET," Oh, boy."
774,THOR," Goodbye, Mom."
775,FRIGGA ,  Goodbye.
776,RHODEY, So he's an idiot?
777,NEBULA, Yeah.
778,RHODEY, What's that?
779,NEBULA, The tool of a thief.
780,RHODEY," Whoa, whoa, whoa, whoa...This is the part where spikes come out with skeletons on the end and everything..."
781,NEBULA, What are you talking about?
782,RHODEY," When you break into a place called the temple of the Power Stone, There's gonna be a bunch of booby traps–"
783,RHODEY, Okay. All right. Go ahead.
784,NEBULA, I wasn't always like this.
785,RHODEY," Me either. But we work with what we got, right?"
786,RHODEY, Sync up.  Three.. two.. one...
787,BRUCE BANNER, You murdered trillions!
788,THANOS, You should be grateful.
789,NATASHA ROMANOFF, Where are the stones?
790,THANOS, Gone. Reduced to atoms.
791,BRUCE BANNER, You used them two days ago.
792,THANOS, I used the stones to destroy the stones. It nearly killed me. But the work is done. It always will be. I am inevitable.
793,GAMORA, What did you do to them?
794,THANOS, Nothing. Yet. They're not trying to stop something I'm going to do in our time. They're trying to undo something I've already done in theirs.
795,GAMORA, The stones...
796,THANOS, I found them all. I won. Tipped the cosmic scales to balance.
797,EBONY MAW , This is your future.
798,THANOS, It's my destiny.
799,NEBULA, My father is many things. A liar is not one of them.
800,THANOS," Ah...Thank you, Daughter. Perhaps I treated you too harshly..."
801,THANOS," And that, is destiny fulfilled."
802,EBONY MAW ,"  Sire, your Daughter..."
803,NEBULA, No!
804,EBONY MAW , ...is a traitor.
805,NEBULA, That's not me. It's not. I could never...
806,THANOS, I know. And you'll have the chance to prove it.
807,NEBULA," No! He knows!  Barton? Barton, come in. Romanoff? Come in, we have a problem. Come on! Come in, we have a prob....Thanos knows. Thanos… He knows."
808,TONY STARK, Cap–
809,TONY STARK," Sorry, buddy. We got a– problem."
810,SCOTT LANG," Huh. Yeah, we do."
811,STEVE ROGERS," Well, what are we gonna do now?"
812,TONY STARK," You know what? Give me a break, Steve. I just got hit in the head with the Hulk."
813,SCOTT LANG, You said that we had one shot. This– this was our shot. We shot it. It's shot. Six stones or nothing. Six stones or nothing–
814,TONY STARK," You're repeating yourself, you know that? You're repeating yourself."
815,SCOTT LANG, You're repeating yourself. You're repeating yourself. You know– No.
816,TONY STARK," Dude, come on."
817,SCOTT LANG," You never wanted a time heist, you went on board with the time heist–"
818,TONY STARK, I dropped the ball.
819,SCOTT LANG, You ruined the time heist.
820,TONY STARK, Is that what I did?
821,SCOTT LANG, Yeah!
822,STEVE ROGERS, Are there any other options with the Tesseract?
823,SCOTT LANG," No, no, no. There's no other options. There's no do-overs. We're not going anywhere else. We have one particle left. Each. That's it, alright? We use that– Bye, bye. You're not going home."
824,STEVE ROGERS," Yeah, well if we don't try, then no one else is going home, either."
825,TONY STARK," I got it. There's another way. To retake the Tesseract and acquire new particles. We'll stroll down memory lane. Military installation, Garden State."
826,STEVE ROGERS, When were they both there?
827,TONY STARK, They were there at a– I've a vaguely exact idea.
828,STEVE ROGERS, How vague?
829,SCOTT LANG, What are you talking about? Where are we going?
830,TONY STARK, I know for a fact they were there–
831,SCOTT LANG, Who's they? What are we doing?
832,TONY STARK, And I know how I know.
833,SCOTT LANG," Guys, what's up? What is it?"
834,TONY STARK," Well, it looks like we're improvising."
835,SCOTT LANG, Right. What are we improvising?
836,TONY STARK," Scott, get this back to the compound."
837,TONY STARK, Suit up.
838,SCOTT LANG, What's in New Jersey?
839,TONY STARK," 0-4, "
840,STEVE ROGERS, 0-4–
841,TONY STARK," Uhh, 0-7."
842,STEVE ROGERS, 0-7.
843,SCOTT LANG, Excuse me...
844,TONY STARK, 
845,STEVE ROGERS, Are you sure?
846,SCOTT LANG," Cap. Captain. Steve, sorry, America. Rogers. Look,"
847,TONY STARK, 
848,STEVE ROGERS, 
849,TONY STARK, 
850,STEVE ROGERS, 
851,"OUR WATCHER INFORMANT, STAN LEE - R.I.P","  Hey, man! Make love, not war!"
852,TONY STARK," Clearly, you weren't actually born here, right?"
853,STEVE ROGERS, The idea of me was.
854,TONY STARK," Right. Well, imagine"
855,STEVE ROGERS, 
856,TONY STARK,  Good luck on your
857,STEVE ROGERS,  
858,ELEVATOR LADY, 
859,STEVE ROGERS, Not exactly.
860,TONY STARK,  
861,HOWARD STARK, 
862,TONY STARK," Oh, yeah."
863,HOWARD STARK, I'm looking for Dr. Zola.
864,TONY STARK, 
865,HOWARD STARK, Do I know you?
866,TONY STARK," No, sir. I'm a– a visitor from MIT."
867,HOWARD STARK, Huh. MIT. Got a name?
868,TONY STARK, Uh– Howard.
869,HOWARD STARK," Well, that'll be"
870,TONY STARK, Howard– Potts.
871,HOWARD STARK,  
872,TONY STARK, Hi. 
873,HOWARD STARK," Shake it, don't pull it."
874,TONY STARK, Yeah–
875,HOWARD STARK, You look a little green around
876,TONY STARK," I'm fine. Just, long hours."
877,HOWARD STARK," Wanna get some air? Hello, Potts."
878,TONY STARK, Yeah. That would be swell.
879,HOWARD STARK, That way.
880,TONY STARK, Okay.
881,HOWARD STARK, Need your briefcase?
882,HOWARD STARK, You're not one of
883,STEVE ROGERS, Hello. Dr. Pym?
884,HANK PYM, That would be the number that you called. Yes.
885,STEVE ROGERS, This is Captain Stevens from shipping. We have a package for you.
886,HANK PYM, Bring it up.
887,STEVE ROGERS," Well, that's the thing, sir. We can't."
888,HANK PYM, I'm confused. I thought that was your job.
889,STEVE ROGERS," Well, it's just– Sir,"
890,HANK PYM," They didn't open it, did they?"
891,STEVE ROGERS," Yeah, they did. You better get down here."
892,HANK PYM, Excuse me! Out of the way!
893,TONY STARK," So, flowers and sauerkraut. You"
894,HOWARD STARK," My wife's expecting. And, uh– Too much"
895,TONY STARK, Congratulations.
896,HOWARD STARK," Thanks. Hold this, will you?"
897,TONY STARK," Yeah, sure. How far along is she?"
898,HOWARD STARK, I don't know– Uh– She's at the point where she can't stand the sound of my chewing. I guess I'll be eating
899,TONY STARK, I have a little girl.
900,HOWARD STARK, A girl would be nice. Less of a chance
901,TONY STARK, What'd be so awful about that?
902,HOWARD STARK, Let's just say that the greater
903,SECURITY OFFICER, And you've never seen these two men before?
904,ELEVATOR LADY," No, I've got an eye for this. The two of them looked fishy."
905,SECURITY OFFICER, Can you describe them?
906,ELEVATOR LADY," Well, one of them had a hippie beard."
907,SECURITY OFFICER, Hippie? Like Bee Gees or Mungo Jerry?
908,ELEVATOR LADY, Definitely Mungo Jerry.
909,SECURITY OFFICER," Yeah, this is Chesler. I"
910,TONY STARK," So, where are you"
911,HOWARD STARK," Well, if it's a boy, my wife likes Elmonzo."
912,TONY STARK," Huh, Might wanna let that stew awwhile. You got time."
913,HOWARD STARK, Let me ask you a question. When your kid was born– were you nervous?
914,TONY STARK, Wildly. Yeah.
915,HOWARD STARK, Did you feel qualified? Like you had any idea how to
916,TONY STARK," I literally pieced it together as I went along, I thought about what my Dad did, and–"
917,HOWARD STARK," My old man, he never met a problem he couldn't solve with a belt. "
918,TONY STARK," I thought my dad was tough on me. And now, looking back, I just remember the good stuff, you know. He did drop the odd pearl."
919,HOWARD STARK, Yeah? Like what?
920,TONY STARK," ""No amount of money ever"
921,HOWARD STARK, Smart guy.
922,TONY STARK, He did his best.
923,TONY STARK," Yeah, Howard– Everything's gonna be all right. Thank you– for everything– you've done for this country."
924,HOWARD STARK," Jarvis, have we ever met that guy?"
925,EDWIN JARVIS," You meet a lot of people, sir."
926,HOWARD STARK, Seems very familiar. Weird beard.
927,NEBULA, You're weak.
928,NEBULA, I'm you.
929,NEBULA, You can stop this. You know you want to. Did you see what
930,NEBULA, That's enough.  You disgust me. But that doesn't
931,NEBULA, How do I look?
932,CLINT BARTON," Wow– Under different circumstances, this would be totally awesome."
933,NATASHA ROMANOFF, 
934,CLINT BARTON, 
935,NATASHA ROMANOFF, 
936,RED SKULL , Welcome.
937,RED SKULL , 
938,NATASHA ROMANOFF, Who are you?
939,RED SKULL ," Consider me a guide. To you, and to all who"
940,NATASHA ROMANOFF," Oh, good. You tell us where it is."
941,RED SKULL ," Ah, liebchen– If only it were that easy."
942,RED SKULL , What you seek lies
943,NATASHA ROMANOFF, The stone is down there.
944,RED SKULL ," For one of you. For the other... In order to take the stone, you"
945,CLINT BARTON, How's it going? Jesus...Maybe he's making this shit up.
946,NATASHA ROMANOFF, No. I don't think so.
947,CLINT BARTON," Why, 'cause he knows your Daddy's name?"
948,NATASHA ROMANOFF, I didn't. Thanos left here with the stone without his daughter. It's not a coincidence.
949,CLINT BARTON, Yeah.
950,NATASHA ROMANOFF, Whatever it takes.
951,CLINT BARTON, Whatever it takes.
952,NATASHA ROMANOFF," If we don't get that stone, billions of people stay dead."
953,CLINT BARTON, Then I guess we both know who it's gotta be.
954,NATASHA ROMANOFF, 
955,CLINT BARTON, 
956,NATASHA ROMANOFF, Get to right here. That's all it's been about. Bringing everybody back.
957,CLINT BARTON," Oh, don't you get all decent on me now."
958,NATASHA ROMANOFF," What, you think I wanna do it? I'm trying to save your life, you idiot."
959,CLINT BARTON, 
960,NATASHA ROMANOFF, I don't judge people on
961,CLINT BARTON, 
962,NATASHA ROMANOFF, 
963,CLINT BARTON, 
964,CLINT BARTON, Okay. You win.
965,CLINT BARTON, 
966,NATASHA ROMANOFF,  
967,CLINT BARTON, 
968,NATASHA ROMANOFF, 
969,CLINT BARTON, 
970,NATASHA ROMANOFF, 
971,CLINT BARTON, 
972,BRUCE BANNER, 
973,RHODEY, You telling me this'll
974,BRUCE BANNER, 
975,TONY STARK, Do we know if she had family?
976,STEVE ROGERS, Yeah. Us.
977,THOR, (confused) What?
978,TONY STARK, I just asked him a question–
979,THOR," Yeah, you're acting like she's dead. Why are we acting like she's dead? We have the stones, right? As long as we have the stones, Cap, we can bring her back, isn't that right?  So stop this shit. We're the Avengers, get it together."
980,CLINT BARTON, We can't get her back.
981,THOR, Wha– what?
982,CLINT BARTON, It can't be undone. It can't.
983,THOR," I'm sorry. No offense, but you're"
