,character,line
493,JAMES RHODES," You better find someone, and somewhere fast. Ross isn't exactly just gonna let you guys have your old rooms back."
494,STEVE ROGERS, I know somewhere.
495,OKOYE," You'll have the Kingsguard, and the Dora Milaje have been alerted."
496,KING T'CHALLA, And the Border Tribe?
497,OKOYE, Those that are left.
498,KING T'CHALLA, Send word to the Jabari as well. M'Baku likes a good fight.
499,OKOYE, And what of this one?
500,KING T'CHALLA, This one may be tired of war.  But the White Wolf has rested long enough.
501,BUCKY BARNES,  Where's the fight?
502,KING T'CHALLA, On its way.
503,EBONY MAW," In all the time I've served Thanos, I've never failed him. If I were to reach our rendezvous on Titan with the Time Stone still attached to your vaguely irritating person, there would be... judgement.  Give me... the stone."
504,TONY STARK," Wow you're a seriously loyal piece of outerwear, aren't you?"
505,PETER PARKER," Yeah, uh, speaking of loyalty...."
506,TONY STARK, What the--
507,PETER PARKER, I know what you're gonna say.
508,TONY STARK, You should not be here.
509,PETER PARKER, I was gonna go home--
510,TONY STARK, I don't wanna hear it.
511,PETER PARKER, But it was such a long way down and I just thought about you on the way...
512,TONY STARK, And now I gotta hear it.
513,PETER PARKER," ...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here."
514,TONY STARK,  What did you just say?
515,PETER PARKER, I take that back. And now I'm here in space.
516,TONY STARK, Yeah.  Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's a one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through.
517,PETER PARKER, No. I did think this through.
518,TONY STARK, You could not have possibly thought this through.
519,PETER PARKER," It's just .. you can't be a friendly neighborhood Spider-Man if there's no neighborhood.  Okay. That didn't really make any sense, but you know what I'm trying to say."
520,TONY STARK,  See him down there? He's in trouble. What's your plan? Go.
521,PETER PARKER," Um. Okay, okay... uh...  Okay. Did you ever see this really old movie, Aliens?"
522,EBONY MAW, Painful aren't they? They were originally designed for microsurgery. And any one of them...
523,EBONY MAW, ...Could end your friend's life in an instant.
524,TONY STARK," I gotta tell you, he's not really my friend. Saving his life is more a professional courtesy."
525,EBONY MAW,  You've saved nothing. Your powers are inconsequential compared to mine.
526,TONY STARK," Yeah, but the kid's seen more movies."
527,PETER PARKER, Yes! Wait what are those?!
528,PETER PARKER," Hey, we haven't officially met.  Cool."
529,DOCTOR STRANGE, We've gotta turn this ship around.
530,TONY STARK, Yeah. Now he wants to run. Great plan.
531,DOCTOR STRANGE," No, I want to protect the stone."
532,TONY STARK,"  And I want you to thank me now. Go ahead, I'm listening."
533,DOCTOR STRANGE, For what? Nearly blasting me into space?
534,TONY STARK, Who just saved your magical ass? Me.
535,DOCTOR STRANGE, I seriously don't know how you fit your head into that helmet.
536,TONY STARK, Admit it. You should have ducked out when I told you to. I tried to bench you. You refused.
537,DOCTOR STRANGE," Unlike everyone else in your life, I don't work for you."
538,TONY STARK," And due to that fact, we're now in a flying doughnut billions of miles away from Earth with no backup."
539,PETER PARKER,  I'm backup.
540,TONY STARK, No. You're a stowaway.  The adults are talking.
541,DOCTOR STRANGE," I'm sorry, I'm confused as to the relationship here. Wh-- what is he, your ward?"
542,PETER PARKER," No. I'm Peter, by the way."
543,DOCTOR STRANGE, Dr. Strange.
544,PETER PARKER," Oh, we're using our made-up names. Um... I'm Spider-Man, then."
545,TONY STARK, This ship is self-correcting its course. Thing's on autopilot.
546,DOCTOR STRANGE,  Stark?
547,TONY STARK, Yeah?
548,DOCTOR STRANGE, Can you get us home?
549,TONY STARK, Yeah I heard you. I'm thinking... I'm not so sure we should.
550,DOCTOR STRANGE, Under no circumstance can we bring the Time Stone to Thanos. I don't think you quite understand what's at stake here.
551,TONY STARK,"  No. It's you who doesn't understand, that Thanos has been inside my head for six years since he sent an army to New York and now he's back! And I don't know what to do. So I'm not so sure if it's a better plan to fight him on our turf or his but you saw what they did, what they can do. At least on his turf, he's not expecting it. So I say we take the fight to him. Doctor. Do you concur?"
552,DOCTOR STRANGE,"  Alright, Stark. We go to him. But you have to understand... if it comes to saving you or the kid or the Time Stone... I will not hesitate to let either of you die. I can't, because the fate of the universe depends on it."
553,TONY STARK, Nice. Good. Moral compass. We're straight. 
554,THANOS, I thought you might be hungry.
555,GAMORA, I always hated that chair.
556,THANOS, So I've been told. Even so. I'd hoped you'd sit on it one day.
557,GAMORA, I hated this room. This ship. I hated my life.
558,THANOS, You told me that too.  Every day. For almost twenty years.
559,GAMORA, I was a child when you took me.
560,THANOS, I saved you.
561,GAMORA, No. No. We were happy on my home planet.
562,THANOS," Going to bed hungry, scrounging for scraps. Your planet was on the brink of collapse. I'm the one who stopped that. Do you know what's happened since then? The children born have known nothing but full bellies and clear skies. It's a paradise."
563,GAMORA, Because you murdered half the planet.
564,THANOS, A small price to pay for salvation.
565,GAMORA, You're insane.
566,THANOS," Little one, it's a simple calculus. This universe is finite, its resources finite. If life is left unchecked, life will cease to exist. It needs correction."
567,GAMORA, You don't know that!
568,THANOS,  For a time... you had that same will... as you fought by my side. Daughter.
569,GAMORA, I'm not your daughter. Everything I hate about myself you taught me.
570,THANOS," And in doing so, made you the fiercest woman in the galaxy. That's why I trusted you to find the Soul Stone."
571,GAMORA, I'm sorry I disappointed you.
572,THANOS, I am disappointed. But not because you didn't find it.  And you lied.
573,GAMORA, Nebula.
574,GAMORA, Don't do this.
575,THANOS," Some time ago, your sister snuck aboard this ship to kill me."
576,GAMORA, Please don't do this.
577,THANOS, And very nearly succeeded. So I brought her here. To talk.
578,GAMORA, Stop. Stop it.  I swear to you on my life. I never found the Soul Stone.
579,MEMORY NEBULA," You know what he's about to do. He's finally ready, and he's going for the stones. All of them."
580,MEMORY GAMORA, He can never get them all.
581,MEMORY NEBULA, He will!
582,MEMORY GAMORA," He can't, Nebula. Because I found the map to the Soul Stone and I burnt it to ash. I burnt it."
583,THANOS, 
584,GAMORA, Vormir!  The Stone is on Vormir.
585,THANOS,  Show me.
586,GROOT,  I am Groot.
587,ROCKET, Tinkle in the cup. We're not looking. What's there to see? What's a twig? Everybody's seen a twig.
588,GROOT,  I am Groot.
589,THOR,"  Tree, pour what's in the cup out in space, and go in the cup again."
590,ROCKET, You speak Groot?
591,THOR," Yes, they taught it on Asgard. It was an elective."
592,GROOT,  I am Groot.
593,THOR, You'll know when we're there. Nivadellir's forge harnesses the power of a blazing neutron star.  It's the birth place of my hammer. It's truly awesome.
594,ROCKET,"  So, dead brother, huh? Yeah, that can be annoying."
595,THOR," Well, he's been dead before, but this time I think it really might be true."
596,ROCKET, And you said your sister and your dad?
597,THOR, Both dead.
598,ROCKET," Still got a mom, though?"
599,THOR, Killed by a dark elf.
600,ROCKET, A best friend?
601,THOR, Stabbed through the heart.
602,ROCKET, Are you sure you're up to this particular murder mission?
603,THOR,"  Absolutely. Rage, vengeance, anger, loss, regret... they're all tremendous motivators. They really clear the mind. So I'm good to go."
604,ROCKET," Yeah, but this Thanos we're talking about... he's the toughest there is."
605,THOR," Well, he's never fought me."
606,ROCKET," Yeah, he has!"
607,THOR," He's never fought me twice. And I'm getting a new hammer, don't forget."
608,ROCKET, Better be some hammer.
609,THOR," You know, I'm 1,500 years old. I've killed twice as many enemies as that, and every one would have rather killed me, but none succeeded. I'm only alive because fate wants me alive. Thanos is the latest in a long line of bastards and he will be the latest to feel my vengeance. Fate wills it so."
610,ROCKET, And what if you're wrong?
611,THOR, If I'm wrong then... what more could I lose?
612,ROCKET, 
613,THOR, What's this?
614,ROCKET, What's it look like? Some jerk lost a bet with me on on Contraxia.
615,THOR, He gave you his eye?
616,ROCKET, He gave me 100 credits. I snuck in later that night and stole his eye.
617,THOR," Thank you, sweet rabbit."
618,ROCKET," Hmm. Huh? Oh. I would've washed that. The only way I could sneak it off Contraxia was up my... Hey, we're here!"
619,THOR,  I don't think this thing works. Everything seems dark.
620,ROCKET, It ain't the eye.
621,THOR, Something's wrong. The star's gone out. And the rings are frozen.
622,ROCKET, I hope these dwarves are better at forging than they are cleaning. Maybe they realized they live in a junk pile in the middle of space.
623,THOR, This forge hasn't gone dark in centuries....
624,ROCKET,"  You said Thanos had a gauntlet, right?"
625,THOR, Yes. Why?
626,ROCKET, Look anything like that? 
627,GROOT,  I am Groot.
628,THOR,  Go back to the pod.
629,THOR," Eitri, wait! Stop!"
630,EITRI, Thor?
631,THOR, What happened here?
632,EITRI, You were supposed to protect us. Asgard was supposed to protect us!
633,THOR," Asgard is destroyed.  Eitri, the glove. What did you do?"
634,EITRI, 
635,THOR," Eitri, this isn't about your hands. Every weapon you've ever designed... every ax, hammer, sword... it's all inside your head. Now I know it feels like all hope is lost. Trust me, I know. But together, you and I, we can kill Thanos."
636,NEBULA," Mantis, listen very carefully. I need you to meet me on Titan."
637,PETER PARKER,"  Hey, what's going on?"
638,DOCTOR STRANGE, I think we're here.
639,TONY STARK, I don't think this rig has a self-park function.  Get your hand into this steering gimbal. Close those around it. You understand?
640,PETER PARKER," Yep, got it."
641,TONY STARK," This was meant for one big guy, so we gotta to move at the same time."
642,PETER PARKER, Okay. Okay. Ready.
643,PETER PARKER, We might wanna turn. Turn! Turn! Turn!!
644,TONY STARK,  That was close. I owe you one.
645,PETER PARKER," Let me just say, if aliens wind up implanting eggs in my chest or something, and I eat one of you, I'm sorry."
646,TONY STARK,  I don't wanna hear another single pop culture out of you for the rest of the trip. You understand?
647,PETER PARKER, I'm trying to say that... something is coming.
648,DRAX, 
649,PETER PARKER,"  AH! Whoa, whoa, whoa, whoa! PLEASE DON'T PUT YOUR EGGS IN ME!"
650,PETER QUILL," Stay down, clown!"
651,DRAX,"  Die, blanket of death!"
652,PETER QUILL," Alright, everybody, stay where you are... chill the F out.  I'm gonna ask you this one time. Where's Gamora?"
653,TONY STARK,"  Yeah, I'll do you one better. Who's Gamora?"
654,DRAX, I'll do you one better! Why is Gamora?!
655,PETER QUILL," Tell me where the girl is, or I swear to you, I'm gonna French-fry this little freak."
656,TONY STARK," Let's do it! You shoot my guy, I blast him. Let's go! "
657,DRAX," Do it, Quill! I can take it."
658,MANTIS," No, he can't take it!"
659,DOCTOR STRANGE,  She's right. You can't.
660,PETER QUILL, Oh yeah? You don't wanna tell me where she is? That's fine. I'll kill all three of you and beat it out of Thanos myself.  Starting with you.
661,DOCTOR STRANGE, What master do you serve?
662,PETER QUILL," What master do I serve? What am I supposed to say? ""Jesus""?"
663,TONY STARK,  You're from Earth?
664,PETER QUILL, I'm not from Earth. I'm from Missouri.
665,TONY STARK," Yeah, that's on EARTH, dip-shit. What are you hassling us for?"
666,PETER PARKER,"  So, you're not with Thanos?"
667,PETER QUILL,"  WITH Thanos?! No, I'm here to kill Thanos! He took my girl. Wait... who are you?"
668,PETER PARKER,"  We're the Avengers, man."
669,PETER QUILL, Oh.
670,MANTIS, You're the ones Thor told us about!
671,TONY STARK, You know Thor!?
672,PETER QUILL," Yeah. Tall guy, not that good-looking,  needed saving."
673,DOCTOR STRANGE,  Where is he now?
674,ROCKET, This is plan? We're gonna hit him with a brick?
675,EITRI," It's a mold. A king's weapon. Meant to be the greatest in Asgard. In theory, it could even summon the Bifrost."
676,THOR, Did it have a name?
677,EITRI, Stormbreaker.
678,ROCKET, That's a bit much.
679,THOR, So how do we make it?
680,EITRI, You'll have to restart the forge. Awaken the heart of a dying star.
681,THOR," Rabbit, fire up the pod."
682,PETER QUILL, The heck happened to this planet? It's eight degrees off its axis. Gravitational pull is all over the place.
683,TONY STARK," Yeah, we got one advantage. He's coming to us. We'll use it. All right, I have a plan. Or at least the beginnings of one. It's pretty simple. We draw him in, pin him down, get what we need. Definitely don't wanna dance with this guy. We just want the gauntlet."
684,TONY STARK," Are you yawning? In the middle of this, while I'm breaking it down? Huh? Did you hear what I said?"
685,DRAX," I stopped listening after you said, ""We need a plan."""
686,TONY STARK,"  Okay, Mr. Clean is on his own page."
687,PETER QUILL," See, ""not winging it"" isn't really what they do."
688,PETER PARKER," Uh, what exactly is it that they do?"
689,MANTIS,"  Kick names, take ass."
690,DRAX," Yeah, that's right. "
691,TONY STARK,"  Alright, just get over here, please. Mr. Lord, can you get your folks to circle up?"
692,PETER QUILL," ""Mr. Lord."" Star-Lord is fine. "
693,TONY STARK, We gotta coalesce. 'Cause if all we come at him with is a plucky attitude....
694,PETER QUILL," Dude, don't call us plucky. We don't know what it means. Alright, we're optimistic, yes. I like your plan. Except it sucks, so let me do the plan, and that way it might be really good. "
695,DRAX, Tell him about the dance-off to save the universe.
696,TONY STARK, What dance-off?
697,PETER QUILL, It's not a... it's not... it's nothing.
698,PETER PARKER," Like in Footloose, the movie?"
699,PETER QUILL,  Exactly like Footloose. Is it still the greatest movie in history?
700,PETER PARKER, It never was.
701,TONY STARK," Don't encourage this, alright?"
702,PETER PARKER, Okay.
703,TONY STARK, We're getting no help from Flash Gordon here.
704,PETER QUILL," Flash Gordon? By the way, that's a compliment. Don't forget, I'm half human.  So that 50% of me that's stupid? That's 100% you."
705,TONY STARK, Your math is blowing my mind.
706,MANTIS," Excuse me, but... does your friend often do that?"
707,TONY STARK, Strange! We alright?
708,TONY STARK, You're back. You're alright.
709,PETER PARKER," Hey, what was that?"
710,DOCTOR STRANGE,  I went forward in time to view alternate futures. To see all the possible outcomes of the coming conflict.
711,PETER QUILL, How many did you see?
712,DOCTOR STRANGE,"14,000,605."
713,TONY STARK, How many did we win?
714,DOCTOR STRANGE,  One.
715,THANOS, The stone had better be up there... for your sister's sake.
716,STONEKEEPER," Welcome, Thanos, son of A'lars. Gamora, daughter of Thanos."
717,THANOS, You know us?
718,STONEKEEPER, It is my curse to know all who journey here.
719,THANOS, Where's the Soul Stone?
720,STONEKEEPER, You should know... it extracts a terrible price.
721,THANOS, I am prepared.
722,STONEKEEPER, We all think that at first.  We are all wrong.
723,THANOS, How is it you know this place so well?
724,RED SKULL," A lifetime ago, I, too, sought the stones. I even held one in my hand. But it cast me out, banished me here. Guiding others to a treasure I cannot possess."
725,RED SKULL, What you seek lies before you. As does what you fear.
726,THANOS, What's this?
727,RED SKULL, The price. Soul hold a special place among the Infinity Stones. You might say it has a certain wisdom.
728,THANOS, Tell me what it needs.
729,RED SKULL, To ensure that whoever possesses it... understands its power.... The stone demands a sacrifice.
730,THANOS, Of what?
731,RED SKULL, In order to take the stone you must lose that which you love. A soul... for a soul.
732,GAMORA," All my life, I dreamed of a day... a moment when you would get what you deserved. And I was always so disappointed. But now... you kill and torture... and you call it mercy. The universe has judged you. You asked it for a prize, and it told you no. You failed. And do you wanna know why? Because you love nothing. No one."
733,THANOS, 
734,GAMORA, Really? Tears?
735,RED SKULL, They're not for him.
736,GAMORA, No. This isn't love.
737,THANOS, 
738,GAMORA, NO!
739,STEVE ROGERS,"  Drop to 2600, heading 0-3-0."
740,SAM WILSON," I hope you're right about this, Cap. Or we're gonna land a lot faster than you want to."
741,OKOYE,  When you said we were going to open Wakanda to the rest of the world... this is not what I imagined.
742,KING T'CHALLA, And what did you imagine?
743,OKOYE, The Olympics. Maybe even a Starbucks.
744,BRUCE BANNER,  Should we bow?
745,JAMES RHODES,"  Yeah, he's a king."
746,STEVE ROGERS, Seems like I'm always thanking you for something. 
747,JAMES RHODES,  What are you doing?
748,T'CHALLA," Uh, we don't do that here.  So how big of an assault can we expect?"
749,BRUCE BANNER," Uh, sir, I think you can expect quite a big assault."
750,NATASHA ROMANOFF, How we looking?
751,KING T'CHALLA," You will have my Kingsguard, the Border Tribe, the Dora Milaje, and..."
752,BUCKY BARNES,"  A semi-stable, 100-year-old man."
753,STEVE ROGERS," How you been, Buck?"
754,BUCKY BARNES," Uh, not bad, for the end of the world."
755,SHURI, Whoa. The structure is polymorphic.
756,BRUCE BANNER," Right, we had to attach each neuron non-sequentially."
757,SHURI, Why didn't you just reprogram the synapses to work collectively?
758,BRUCE BANNER,"  Because, we didn't think of it."
759,SHURI,  I'm sure you did your best.
760,WANDA MAXIMOFF, Can you do it?
761,SHURI," Yes, but there are more than two trillion neurons here. One misalignment could cause a cascade of circuit failures.  It will take time, brother."
762,STEVE ROGERS, How long?
763,SHURI, As long as you can give me.
764,OKOYE,  Something's entered the atmosphere.
765,SAM WILSON,"  Hey, Cap, we got a situation here."
766,BUCKY BARNES," God, I love this place."
767,JAMES RHODES,"  Yeah, don't start celebrating yet, guys. We got more incoming outside the dome."
768,VISION,  It's too late. We need to destroy the stone now.
769,NATASHA ROMANOFF,"  Vision, get your ass back on the table."
770,T'CHALLA, We will hold them off. 
771,STEVE ROGERS,"  Wanda, as soon as the stone's out of his head... you blow it to hell."
772,WANDA MAXIMOFF, I will.
773,KING T'CHALLA, Evacuate the city. Engage all defense procedures.  And get this man a shield.
774,ROCKET," I don't think you get the scientifics here. These rings are gigantic. You wanna get them moving, you're gonna need something a lot bigger to yank 'em loose."
775,THOR, Leave that to me.
776,ROCKET," Leave that to you? Buddy, you're in space. All you got is a rope and a--"
777,THOR,  Fire the engines!
778,ROCKET,  Nnnyah!
779,THOR,  MORE... POWER... RABBIT!
780,EITRI," Well done, boy."
781,THOR, That's Nivadellir!
782,EITRI, Damn it.
783,ROCKET," ""Damn it""? What's ""damn it""?"
784,EITRI, The mechanism is crippled.
785,THOR, What?
786,EITRI, With the iris closed I can't heat the metal.
787,THOR, How long will it take to heat?
788,EITRI," A few minutes, maybe more. Why?"
789,THOR,  I'm gonna hold it open.
790,EITRI, That's suicide.
791,THOR, So is facing Thanos without that ax. 
792,NATASHA ROMANOFF," How we looking, Bruce?"
793,BRUCE BANNER,  I'm okay. I'm okay.
794,JAMES RHODES, I got two heat signatures breaking through the tree line.
795,JABARI WARRIORS, MAYEFA YA HU! MAYEFA YA HU! MAYEFA YA HU! MAYEFA YA HU! MAYEFA YA HU! 
796,KING T'CHALLA,  Thank you for standing with us.
797,M'BAKU,"  Of course, brother."
798,NATASHA ROMANOFF, Where's your other friend?
799,PROXIMA MIDNIGHT, You will pay for his life with yours. Thanos will have that stone.
800,STEVE ROGERS, That's not gonna happen.
801,KING T'CHALLA, You are in Wakanda now. Thanos will have nothing but dust and blood.
802,PROXIMA MIDNIGHT, We... have blood to spare. 
803,BUCKY BARNES,  Did they surrender?
804,STEVE ROGERS, Not exactly.
805,BUCKY BARNES,  What the hell.
806,NATASHA ROMANOFF, Looks like we pissed her off.
807,OKOYE,  They're killing themselves.
808,SAM WILSON,  You seen the teeth on those things?
809,JAMES RHODES," Alright, back up, Sam. You're gonna get your wings singed. "
810,BRUCE BANNER," Cap, if these things circle the perimeter and get in behind us... there's nothing between them and Vision."
811,STEVE ROGERS,  Them we better keep 'em in front of us.
812,OKOYE,  How do we do that?
813,KING T'CHALLA," We open the barrier.  On my signal, open North-West Section Seventeen."
814,DOME CONTROL,"  Requesting confirmation, my King. You said open the barrier?"
815,KING T'CHALLA, On my signal.
816,M'BAKU,  This will be the end of Wakanda.
817,OKOYE, Then it will be the noblest ending in history.
818,KING T'CHALLA, WAKANDA FOREVER!  Now!
819,KING T'CHALLA,"  How much longer, Shuri?"
820,SHURI," We've barely begun, brother. "
821,KING T'CHALLA, You might want to pick up the pace.
822,THOR," Allfathers, give me strength."
823,EITRI," You understand, boy? You're about to take the full force of a star. It'll kill you."
824,THOR, Only if I die. 
825,EITRI,"  Yes. That's what... ""killing you"" means."
826,EITRI," Hold it! Hold it, Thor!"
827,ROCKET, 
828,ROCKET, I think he's dying!
829,EITRI," He needs the ax! Where's the handle? Tree, help me find the handle!"
830,BRUCE BANNER, There’s too many of them! GYAH! AAAAHHHHH!
831,BRUCE BANNER,  AH-hahaha! You guys are so screwed now!
832,THOR,  BRING ME THANOS! 
833,DOCTOR STRANGE,"  Oh, yeah, you're much more of a ""Thanos."""
834,THANOS," I take it the Maw is dead. This day extracts a heavy toll. Still, he accomplished his mission."
835,DOCTOR STRANGE, You may regret that. He brought you face-to-face with the Master of the Mystic Arts.
836,THANOS, And where do you think he brought you? 
837,DOCTOR STRANGE, Let me guess. Your home?
838,THANOS,"  Titan was like most planets. Too many mouths, and not enough to go around. And when we faced extinction, I offered a solution."
839,DOCTOR STRANGE, Genocide.
840,THANOS," But at random, dispassionate, fair to rich and poor alike. They called me a madman. And what I predicted came to pass. "
841,DOCTOR STRANGE,  Congratulations. You're a prophet.
842,THANOS, I'm a survivor.
843,DOCTOR STRANGE, Who wants to murder trillions.
844,THANOS," With all six stones, I could simply snap my fingers, and they would all cease to exist. I call that... mercy."
845,DOCTOR STRANGE,  And then what?
846,THANOS, I finally rest... and watch the sun rise on a grateful universe. The hardest choices require the strongest wills.
847,DOCTOR STRANGE,  I think... you'll find... our will... equal to yours.
848,THANOS, Ours? 
849,TONY STARK,"  Piece of cake, Quill."
850,PETER QUILL,"  Yeah, if your goal was to piss him off!"
851,PETER QUILL, Boom!
852,DOCTOR STRANGE, 
853,PETER PARKER, Magic!  Magic with a--
854,THANOS, Insect!
855,THANOS," Well, well."
856,NEBULA, You should have killed me.
857,THANOS, Would've been a waste of parts!
858,NEBULA,  Where's Gamora?!
859,TONY STARK,  Is he under? Don't let up.
860,MANTIS,  Be quick. He is very strong.
861,TONY STARK," Parker, help! Get over here.  She can't hold him much longer. Let's go."
862,PETER QUILL,"  I thought you'd be harder to catch. For the record, this was my plan. Not so strong now, huh? Where is Gamora?"
863,THANOS, My... Gamora...?
864,PETER QUILL," No, bullshit. Where is she?"
865,MANTIS,  He is in anguish.
866,PETER QUILL, Good.
867,MANTIS,  He… he… mourns.
868,DRAX, What does this monster have to mourn?!
869,NEBULA, Gamora.
870,PETER QUILL,  What?
871,NEBULA,  He took her to Vormir. He came back with the Soul Stone... but she didn't.
872,TONY STARK,"  Okay, Quill, you gotta cool it right now, you understand?"
873,TONY STARK,"  Don't, don't, don't engage, we've almost got this off!"
874,PETER QUILL, Tell me she's lying.  ASSHOLE! Tell me you didn't do it!
875,THANOS, I... had... to.
876,PETER QUILL,"  NO, YOU DIDN'T!"
877,TONY STARK AND DRAX, Quill!
878,TONY STARK,"  Hey, stop! Hey, stop! Stop! Hey, stop! Stop!"
879,PETER PARKER, It's coming! It's coming! It's coming!  I got it! I got it.... !
880,PETER PARKER, 
881,ROCKET,  How much for the gun?
882,BUCKY BARNES,  Not for sale.
883,ROCKET," Okay, how much for the arm?  Oh, I'll get that arm."
884,STEVE ROGERS,  New haircut?
885,THOR,  Notice you've copied my beard.
886,THOR," By the way, this is a friend of mine. Tree. "
887,GROOT,  I am GROOT!
888,STEVE ROGERS,  I... I am Steve Rogers.
889,KING T'CHALLA, Fall back! Fall back now!
890,JAMES RHODES," Focus that fire on the left flank, Sam."
891,SAM WILSON, I'm doing it. 
892,OKOYE,  Why was she up there all this time?
893,PROXIMA MIDNIGHT, She's on the field. Take it.
894,SAM WILSON," Guys, we got a Vision situation here. "
895,STEVE ROGERS, Somebody get to Vision!
896,BRUCE BANNER, I got him! 
897,WANDA MAXIMOFF, On my way. 
898,PROXIMA MIDNIGHT,  He'll die alone. As will you.
899,NATASHA ROMANOFF, She's not alone.
900,PROXIMA MIDNIGHT, Euuyaaah! 
901,BRUCE BANNER," Oh no, oh no you don't. This isn't going to be like New York, pal. This suit's already kicked the crap out of the Hulk-- "
902,BRUCE BANNER, Guys! Vision needs backup now!  Ahhhhh! Hulk! Hulk! HULK!
903,HULK,  NOOOO!!!
904,BRUCE BANNER," Oh, screw you, you big green asshole! I'll do it myself!  Come on!"
905,BRUCE BANNER," See ya!  Hulk, we got a lot to figure out, pal."
906,CORVUS GLAIVE," I thought you were formidable, machine. But you're dying, like any man. "
907,STEVE ROGERS, Get outta here!  GO!
908,NATASHA ROMANOFF, That was really gross.
909,STEVE ROGERS,  I thought I told you to go.
910,VISION," We don't trade lives, Captain."
911,PETER PARKER, 
912,THANOS," You're full of tricks, wizard."
913,DOCTOR STRANGE,  No!
914,THANOS, 
915,TONY STARK,"  You throw another moon at me, and I'm gonna to lose it."
916,THANOS, Stark.
917,TONY STARK, You know me?
918,THANOS, I do. You're not the only one cursed with knowledge.
919,TONY STARK, My only curse is you. 
920,THANOS, Come on!
921,THANOS,  All that for a drop of blood.
922,THANOS," You have my respect, Stark. When I'm done, half of humanity will still be alive.  I hope they remember you."
923,DOCTOR STRANGE, Stop!  Spare his life... and I will give you the stone.
924,THANOS, No tricks. 
925,TONY STARK, Don't... !
926,THANOS, One to go. 
927,PETER QUILL, 
928,PETER QUILL,  Where is he?!
929,PETER QUILL,  Did we just lose?
930,TONY STARK,  Why would you do that?
931,DOCTOR STRANGE, We're in the Endgame now.
932,M'BAKU, MAYEFA!
933,JABARI, YA HU HU!
934,WANDA MAXIMOFF,  What? What is it?
935,VISION, He's here.
936,STEVE ROGERS," Everyone, on my position. We have incoming. "
937,NATASHA ROMANOFF, What the hell?
938,BRUCE BANNER,  Cap. That's him.
939,STEVE ROGERS, Eyes up. Stay sharp.
940,VISION, Wanda. It's time.
941,WANDA MAXIMOFF, No.
942,VISION," They can't stop him, Wanda, but we can. Look at me. You have the power to destroy the stone."
943,WANDA MAXIMOFF, Don't.
944,VISION," You must do it. Wanda, please. We. Are. Out of time."
945,WANDA MAXIMOFF, I can't.
946,VISION," Yes, you can. You can. If he gets the stone, half the universe dies."
947,WANDA MAXIMOFF, It's not fair.
948,VISION," It shouldn't be you, but it is. It's all right. You could never hurt me. I just... feel you. "
949,VISION,  It's all right. It's all right. I love you.
950,THANOS,"  I understand, my child. Better than anyone."
951,WANDA MAXIMOFF,  You could never.
952,THANOS, 
953,WANDA MAXIMOFF, No! 
954,THOR,  I told you. You'd die for that!
955,THANOS, 
956,THOR, NO!
957,THANOS, Daughter?
958,GAMORA, Did you do it?
959,THANOS, Yes.
960,GAMORA,  What did it cost?
961,THANOS,  Everything.
962,THOR, What'd you do?  WHAT'D YOU DO?!
963,STEVE ROGERS,  Where'd he go? Thor... where'd he go?
964,BUCKY BARNES, Steve?
965,KING T'CHALLA, 
966,OKOYE, Kumkani?!
967,GROOT,  I am Groot...
968,ROCKET," No... no. No. No. No! Groot, no..."
969,JAMES RHODES,  Sam? Sam!? Where you at?!
970,MANTIS, Something... is... happening. 
971,DRAX,  Quill?
972,TONY STARK,"  Steady, Quill."
973,PETER QUILL," Oh, man. "
974,DOCTOR STRANGE, 
975,PETER PARKER,  Mr. Stark? I don't feel so good...
976,TONY STARK,  You're all right?
977,PETER PARKER, 
978,NEBULA,  He did it.
979,JAMES RHODES, What is this? What the hell is happening?
980,STEVE ROGERS,"  Oh, God."
981,NICK FURY, Still no word from Stark?
982,MARIA HILL," No, not yet. We're watching every satellite in both hemispheres, there's still nothing. "
983,NICK FURY, What is it?
984,MARIA HILL, Multiple bogeys over Wakanda.
985,NICK FURY, Same energy signatures as New York?
986,MARIA HILL, Ten times bigger.
987,NICK FURY, Tell Klein. We'll meet him at- -
988,MARIA HILL, 
989,NICK FURY, They okay?
990,MARIA HILL, There's no one here.
991,NICK FURY, Call Control. Code Red.
992,MARIA HILL, Nick?
993,NICK FURY, Hill?
994,NICK FURY," Oh, no. Motherf--"
